Model,Type,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2055,2070
TUBITAK (2012),Regression Analysis,Optimistic Scenario,Turkey,Final Energy|Other,Mtoe/yr,3.5,5.2,8,12.4,19.1,,
TUBITAK (2012),Regression Analysis,Optimistic Scenario,Turkey,Final Energy,Mtoe/yr,83.4,109.2,167.1,263.9,413.7,,
TUBITAK (2012),Regression Analysis,Pessimistic Scenario,Turkey,Final Energy|Residential,Mtoe/yr,28.9,36.1,52.3,80.2,123.6,,
TUBITAK (2012),Regression Analysis,Pessimistic Scenario,Turkey,Final Energy|Agriculture,Mtoe/yr,5.1,7.6,11.8,18.2,28.2,,
TUBITAK (2012),Regression Analysis,Pessimistic Scenario,Turkey,Final Energy|Industry,Mtoe/yr,30.6,43.4,67.9,106.6,166.4,,
TUBITAK (2012),Regression Analysis,Pessimistic Scenario,Turkey,Final Energy|Transportation,Mtoe/yr,15.3,22.5,34.5,53.8,83.7,,
TUBITAK (2012),Regression Analysis,Pessimistic Scenario,Turkey,Final Energy|Other,Mtoe/yr,3.5,5.2,8,12.4,19.1,,
TUBITAK (2012),Regression Analysis,Pessimistic Scenario,Turkey,Final Energy,Mtoe/yr,83.4,114.9,174.5,271.3,421.1,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy,Mtoe/yr,103,177,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Electricity,Mtoe/yr,21,43,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Solids,Mtoe/yr,25,43,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Gases,Mtoe/yr,13,25,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Liquids,Mtoe/yr,35,54,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Renewables,Mtoe/yr,7,9,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Non-Energy,Mtoe/yr,2,3,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Industry,Mtoe/yr,42,76,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Residential,Mtoe/yr,29,48,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Transportation,Mtoe/yr,20,34,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Agriculture,Mtoe/yr,4,7,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Other,Mtoe/yr,8,12,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy,Mtoe/yr,37.8,65.9,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Coal,Mtoe/yr,23.3,37.3,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Oil,Mtoe/yr,2,1,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Gas,Mtoe/yr,0.2,0.2,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Nuclear,Mtoe/yr,,8,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Hydro,Mtoe/yr,5,9,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Wind,Mtoe/yr,0.4,1,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Geothermal|Electricity,Mtoe/yr,0.4,0.4,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Geothermal|Heat,Mtoe/yr,2,4,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Solar,Mtoe/yr,0.5,1,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Primary Energy|Biomass,Mtoe/yr,4,4,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Industry|Electricity,TWh/yr,101,228,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Residential|Electricity,TWh/yr,94,195,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Agriculture|Electricity,TWh/yr,5,7,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Final Energy|Transportation|Electricity,TWh/yr,2,4,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Secondary Energy|Electricity,TWh/yr,242,483,,,,,
MENR (2006),Market Based Simulation,Baseline Scenario,Turkey,Secondary Energy|Electricity|Coal,TWh/yr,66,160,,,,,
